earnings_date,EPS Estimate,Reported EPS,Surprise(%),ticker
2009-10-19,0.05,0.07,0.278,AAPL
2009-07-21,0.04,0.05,0.1503,AAPL
2009-04-22,0.04,0.05,0.2205,AAPL
2009-01-21,0.05,0.06,0.2827,AAPL
2008-10-21,0.04,0.05,0.1329,AAPL
2008-07-21,0.04,0.04,0.1039,AAPL
2008-04-23,0.04,0.04,0.0812,AAPL
2008-01-22,0.06,0.06,0.0886999999999999,AAPL
2007-10-22,0.03,0.04,0.1788,AAPL
2007-07-25,0.03,0.03,0.2707,AAPL
2007-04-25,0.02,0.03,0.3591,AAPL
2007-01-17,0.03,0.04,0.4534,AAPL
2006-10-18,0.02,0.02,0.2252,AAPL
2006-07-19,0.02,0.02,0.2287,AAPL
2006-04-19,0.02,0.02,0.0825,AAPL
2006-01-18,0.02,0.02,0.0706,AAPL
2005-10-11,0.01,0.01,0.0211,AAPL
2005-07-13,0.01,0.01,0.1795,AAPL
2005-04-13,0.01,0.01,0.397,AAPL
2005-01-12,0.01,0.01,0.4384,AAPL
2004-10-13,,,0.474,AAPL
2004-07-14,,,0.1515,AAPL
2004-04-14,,,0.462,AAPL
2004-01-14,,,0.0958,AAPL
2003-10-15,,,0.2017,AAPL
2024-04-25,,,,AMZN
2024-01-31,,,,AMZN
2023-10-25,,,,AMZN
2023-07-26,0.35,,,AMZN
2023-04-27,0.21,0.31,0.4636,AMZN
2023-02-02,0.18,0.25,0.4256,AMZN
2022-10-27,0.22,0.17,-0.2108,AMZN
2022-07-28,0.14,0.18,0.249,AMZN
2022-04-28,0.42,0.37,-0.1169999999999999,AMZN
2022-02-03,0.18,0.29,0.6248,AMZN
2021-10-28,0.45,0.31,-0.3139,AMZN
2021-07-29,0.62,0.76,0.2291,AMZN
2021-04-29,0.48,0.79,0.6548,AMZN
2021-02-02,0.36,0.7,0.9484,AMZN
2020-10-29,0.37,0.62,0.6695000000000001,AMZN
2020-07-30,0.07,0.52,6.0529,AMZN
2020-04-30,0.31,0.25,-0.1982999999999999,AMZN
2020-01-30,0.2,0.32,0.6062,AMZN
2019-10-24,0.23,0.21,-0.0843,AMZN
2019-07-25,0.28,0.26,-0.0626999999999999,AMZN
2019-04-25,0.24,0.35,0.5011,AMZN
2019-01-31,0.28,0.3,0.0634,AMZN
2018-10-25,0.16,0.29,0.8298000000000001,AMZN
2018-07-26,0.13,0.25,0.9984,AMZN
2018-04-26,0.06,0.16,1.5965,AMZN
2018-02-01,0.09,0.11,0.1732999999999999,AMZN
2017-10-26,,0.03,16.5676,AMZN
2017-07-27,0.07,0.02,-0.7181000000000001,AMZN
2017-04-27,0.05,0.07,0.3646,AMZN
2017-02-02,0.07,0.08,0.1435,AMZN
2016-10-27,0.04,0.03,-0.3325,AMZN
2016-07-28,0.06,0.09,0.6065,AMZN
2016-04-28,0.03,0.05,0.8142,AMZN
2016-01-28,0.08,0.05,-0.3636,AMZN
2015-10-22,-0.01,0.01,2.2537000000000003,AMZN
2015-07-23,-0.01,0.01,2.3728,AMZN
2015-04-23,-0.01,-0.01,0.0196,AMZN
2015-01-29,0.01,0.02,1.6818000000000002,AMZN
2014-10-23,-0.04,-0.05,-0.2925,AMZN
2014-07-24,-0.01,-0.01,-0.8544,AMZN
2014-04-24,0.01,0.01,0.0088,AMZN
